code,name,entry_date,exit_date,entry_px,qty,cost,proceeds,pnl,ret,reason,partial_tp,hold_days,entry_r,regime_r,streak_r,capped,success
051910,LG화학,2017-08-04,2017-09-25,342500.0,46,15773120.61325,16786366.6302,1013246.0169499982,0.06423877949039675,MA20_EXIT,False,52,4.0,3.0,1,True,False
069620,대웅제약,2017-09-19,2017-10-11,110000.0,161,17730369.156499997,17015688.5787,-714680.5777999982,-0.0403082739841316,MA20_EXIT,False,22,4.0,3.0,1,False,False
035720,카카오,2017-09-20,2017-10-16,28602.0,259,7416438.216887699,7800290.3612403,383852.1443526009,0.05175693953447159,BEAR_EXIT,False,26,3.0,2.0,1,True,False
240810,원익IPS,2017-10-11,2017-10-16,36900.0,277,10233056.028195,9375873.728812201,-857182.2993827984,-0.08376601252069917,STOP_INTRA,False,5,3.0,2.0,1,True,False
051370,인터플렉스,2017-09-12,2017-10-19,52898.0,247,13080833.636770898,13653310.346676,572476.709905101,0.043764543285363666,MA20_EXIT,False,37,3.0,2.0,1,False,False
068270,셀트리온,2017-09-15,2017-10-19,95655.0,137,13119807.41096025,19900961.4998178,6781154.08885755,0.5168638438390942,BEAR_EXIT,True,34,3.0,2.0,1,False,True
000660,SK하이닉스,2017-09-18,2017-10-19,79700.0,222,17713750.06401,17685508.078710005,-28241.98529999703,-0.0015943538323586162,MA20_EXIT,False,31,4.0,3.0,1,False,False
103140,풍산,2017-10-17,2017-10-24,58600.0,62,3637378.7249799995,3332690.0131608,-304688.7118191994,-0.08376601252069917,STOP_INTRA,False,7,3.0,2.0,1,True,False
128940,한미약품,2017-10-19,2017-10-26,451704.0,30,13566705.820668,12430276.97102928,-1136428.849638721,-0.08376601252069939,STOP_INTRA,False,7,3.0,2.0,1,False,False
034730,SK,2017-10-10,2017-10-27,300500.0,44,13237207.2833,12788188.3107,-449018.9726,-0.03392097464292791,MA20_EXIT,False,17,3.0,2.0,1,False,False
069620,대웅제약,2017-10-11,2017-10-27,112500.0,118,13290268.241249999,13353516.76635,63248.5251000002,0.004759010424160667,MA20_EXIT,False,16,3.0,2.0,1,False,False
008930,한미사이언스,2017-10-19,2017-10-27,90326.0,150,13564483.267335,12625668.84285,-938814.4244849999,-0.06921121918044489,MA20_EXIT,False,8,3.0,2.0,1,False,False
071840,롯데하이마트,2017-10-16,2017-10-30,74400.0,182,13556373.95112,13373856.62613,-182517.32499000058,-0.01346357998444867,BEAR_EXIT,False,14,3.0,2.0,1,False,False
066570,LG전자,2017-10-19,2017-11-08,96500.0,140,13525538.5265,12702441.843,-823096.6834999993,-0.06085500269636893,MA20_EXIT,False,20,3.0,2.0,1,False,False
018260,삼성에스디에스,2017-10-30,2017-11-14,207000.0,64,13263237.187199999,12507019.6608,-756217.526399998,-0.05701605993518714,MA20_EXIT,False,15,3.0,2.0,1,False,False
032830,삼성생명,2017-10-31,2017-11-16,135000.0,131,17705340.402749997,17045101.611225,-660238.7915249951,-0.037290375474647565,MA20_EXIT,False,16,4.0,3.0,1,False,False
214320,이노션,2017-10-31,2017-11-20,38400.0,203,7804165.64928,7600178.0466674995,-203987.60261250008,-0.026138297388820758,MA20_EXIT,False,20,4.0,3.0,1,True,False
051900,LG생활건강,2017-10-24,2017-11-23,1131000.0,11,12455309.01615,13062377.59695,607068.5808000006,0.04873974463522773,MA20_EXIT,False,30,3.0,2.0,1,False,False
240810,원익IPS,2017-11-14,2017-11-28,38900.0,321,12501261.808035,12002012.848125,-499248.95990999974,-0.03993588547910539,MA20_EXIT,False,14,4.0,3.0,1,True,False
