date,equity
2018-05-10,99286608.45786908
2018-05-11,101599158.45786908
2018-05-14,106048969.1273467
2018-05-15,107253851.1273467
2018-05-16,103054921.57398668
2018-05-17,102381223.60961449
2018-05-18,103429231.60961449
2018-05-21,102723885.86518699
2018-05-23,103240988.192087
2018-05-24,103241877.505937
2018-05-25,96431593.14554928
2018-05-28,101682999.90679888
2018-05-29,98500569.63685474
2018-05-30,98683619.63685474
2018-05-31,98697775.40991713
2018-06-01,98756725.40991713
2018-06-04,97767125.40991713
2018-06-05,99332475.40991713
2018-06-07,98374669.70827113
2018-06-08,97046174.52654713
2018-06-11,97546267.77656963
2018-06-12,98965717.77656963
2018-06-14,99484367.77656963
2018-06-15,98454767.77656963
2018-06-18,97396867.77656963
2018-06-19,97632779.63414463
2018-06-20,98390729.63414463
2018-06-21,98781929.63414463
2018-06-22,98953079.63414463
2018-06-25,99759929.63414463
2018-06-26,98635229.63414463
2018-06-27,99099779.63414463
2018-06-28,98561879.63414463
2018-06-29,98366279.63414463
2018-07-02,98512979.63414463
2018-07-03,99319829.63414463
2018-07-04,98757479.63414463
2018-07-05,98879729.63414463
2018-07-06,98904179.63414463
2018-07-09,98781929.63414463
2018-07-10,98708579.63414463
2018-07-11,97901729.63414463
2018-07-12,97708321.90916464
2018-07-13,97708321.90916464
2018-07-16,97708321.90916464
2018-07-17,97708321.90916464
2018-07-18,97708321.90916464
2018-07-19,97708321.90916464
2018-07-20,97708321.90916464
2018-07-23,97708321.90916464
2018-07-24,97708321.90916464
2018-07-25,97708321.90916464
2018-07-26,97708321.90916464
2018-07-27,97708321.90916464
2018-07-30,97708321.90916464
2018-07-31,97708321.90916464
2018-08-01,97708321.90916464
2018-08-02,97708321.90916464
2018-08-03,97708321.90916464
2018-08-06,97708321.90916464
2018-08-07,97708321.90916464
2018-08-08,97708321.90916464
2018-08-09,97708321.90916464
2018-08-10,97708321.90916464
2018-08-13,97708321.90916464
2018-08-14,97708321.90916464
2018-08-16,97708321.90916464
2018-08-17,97708321.90916464
2018-08-20,97708321.90916464
2018-08-21,97708321.90916464
2018-08-22,97708321.90916464
2018-08-23,97708321.90916464
2018-08-24,97708321.90916464
2018-08-27,97708321.90916464
2018-08-28,97708321.90916464
2018-08-29,97708321.90916464
2018-08-30,97708321.90916464
2018-08-31,97708321.90916464
2018-09-03,97708321.90916464
2018-09-04,97694346.20188403
2018-09-05,97617390.20188403
2018-09-06,97559302.20188403
2018-09-07,98466026.20188403
2018-09-10,98639442.20188403
2018-09-11,98466026.20188403
2018-09-12,98138062.20188403
2018-09-13,98639442.20188403
2018-09-14,98639442.20188403
2018-09-17,98466026.20188403
2018-09-18,98870946.20188403
2018-09-19,99179729.35300903
2018-09-20,99006269.35300903
2018-09-21,99311565.35300903
2018-09-27,100104651.88924403
